Division,Sales Office,Customer Code,Order ID,Invoice Number,Order Date,Order Amount,Payment Term,Delivery Date
01,KS1,113146,104,282,"Mar 20, 2025",14328,Credit,"Mar 21, 2025"
01,KS1,554532,1366,1366,"Mar 20, 2025",767,Credit,"Mar 21, 2025"
01,KS1,554532,1364,1364,"Mar 20, 2025",400,Credit,"Mar 21, 2025"
01,KS1,554532,1357,1357,"Mar 20, 2025",819,Credit,"Mar 21, 2025"
01,KS1,554532,1356,1356,"Mar 20, 2025",561,Credit,"Mar 21, 2025"
01,KS1,554532,1355,1355,"Mar 20, 2025",656,Credit,"Mar 21, 2025"
01,KS1,554532,1354,1354,"Mar 20, 2025",891,Credit,"Mar 21, 2025"
01,KS1,554532,1353,1353,"Mar 20, 2025",943,Credit,"Mar 21, 2025"
01,KS1,721547,220,N/A,"Mar 20, 2025",294,Credit,"Mar 21, 2025"
01,KS1,554532,1343,233,"Mar 20, 2025",590,Credit,"Mar 21, 2025"
01,KS1,554532,1342,N/A,"Mar 20, 2025",64,Credit,"Mar 21, 2025"
01,C01,51111289,1116,N/A,"May 07, 2025",10000,CASH,"May 12, 2025"
01,C01,51111289,1115,N/A,"May 07, 2025",10000,CASH,"May 12, 2025"
01,C01,51111289,1114,N/A,"May 07, 2025",10000,CASH,"May 12, 2025"
01,C01,51111289,1113,N/A,"May 07, 2025",10000,CASH,"May 12, 2025"
01,KS1,554532,1341,N/A,"Mar 20, 2025",377,Credit,"Mar 21, 2025"
01,KS1,554532,1340,N/A,"Mar 20, 2025",675,Credit,"Mar 21, 2025"
01,KS1,554532,1339,N/A,"Mar 20, 2025",228,Credit,"Mar 21, 2025"
01,KS1,554532,1338,N/A,"Mar 20, 2025",199,Credit,"Mar 21, 2025"
01,KS1,554532,1337,N/A,"Mar 20, 2025",627,Credit,"Mar 21, 2025"
01,KS1,554532,1336,N/A,"Mar 20, 2025",336,Credit,"Mar 21, 2025"
